year,Manufacturing & Other Industry,Basic and Fabricated Metal Products,Chemicals,"Clothing, Footwear and Leather","Computer, Electronic and Optical Equipment","Construction, Energy, Water and Waste *",Drink and Tobacco,Electrical Equipment,Food,Machinery and Equipment,Medical and dental instruments and supplies,Miscellaneous Manufacturing,Non-Metallic Minerals,Paper and Printing,Rubber and Plastics,Textiles,Transport Equipment,Wood and Wood Products,Primary Production,"Agriculture, Fishing and Forestry",Mining and Quarrying,Services,Business Services,Computer consultancy activities,Computer facilities management activities,Computer programming activities,Financial Services,Other Information and Communication,Other information technology and computer service activities,Other Services
2006,233011,16192,26938,2577,24855,13399,6800,7804,44852,13208,22597,9203,11204,7911,8858,2351,6538,7724,5635,3600,2035,119012,16896,30401,10121,22162,17680,6237,3404,12111
2007,231158,15780,26695,2092,23985,14332,6660,7421,44306,12824,23781,8928,11728,7728,8745,2384,6408,7361,5426,3444,1982,124398,18295,30867,8953,21279,20629,6881,4893,12601
2008,219955,14447,26238,1837,22787,14434,6734,6776,42895,12013,23223,8225,10427,7287,8357,2189,6207,5879,4790,2894,1896,125997,19418,29704,8584,22153,21746,7162,5348,11882
2009,196385,11446,24698,1757,20091,12424,6756,5757,40832,10216,23432,7024,7101,6896,7217,1611,4274,4853,4301,2522,1779,117970,18498,25446,8092,20970,20766,7302,5422,11474
2010,191604,10729,24600,1650,20338,11115,6226,5445,41544,10163,23125,6607,6387,6352,6943,1550,4146,4684,4206,2429,1777,121144,18576,26342,8362,21424,20949,7433,6674,11384
2011,191480,10910,24523,1616,20426,10495,5412,5109,42132,10522,24391,6327,6337,6097,6903,1423,4367,4490,4287,2512,1775,127162,18903,27845,8960,22833,21804,7871,7462,11484
2012,193979,10546,24950,1541,20782,10801,5160,5525,43334,10834,25398,6092,5708,6197,6948,1317,4460,4386,4316,2654,1662,133601,19388,28439,10286,25569,22065,8163,7975,11716
2013,198296,10898,25459,1511,21773,11328,4772,5700,44517,11189,25611,5696,6115,5883,7246,1355,4821,4422,4563,2816,1747,142530,21293,30021,10791,27115,22792,8701,9668,12149
2014,204295,11788,25773,1470,22855,11224,4539,5731,46366,11714,26784,5798,6234,5935,7442,1402,4653,4587,4763,2865,1898,155890,26313,31253,10848,29143,24578,9382,10951,13422
2015,213483,12349,27346,1492,25141,11560,4395,5807,48073,12443,27134,6293,6785,6016,7799,1452,4660,4738,4809,2876,1933,169151,29308,32496,11747,31529,26900,10555,12409,14207
